question,answer,contexts,ground_truth,context_precision,context_recall,faithfulness,answer_relevancy,id,filters_extracted,num_chunks,generated_sql,ground_truth_nl
Which 12K 5u lens has the least warping at the edges?,"SELECT model_name, tv_distortion_percent
FROM line_scan_lens_12k5u
ORDER BY tv_distortion_percent ASC
LIMIT 1;","['[Table: line_scan_lens_12k5u] Query Type: Compatibility Reasoning. Natural Language: Which 12K 5µm lenses have a filter thread and support a maximum image size of at least 60 mm? Engineering Reasoning: Filter on `filter_thread_raw` for non-null filter thread availability. Filter on `max_image_size_value` for large sensor coverage. SQL: SELECT model_name, filter_thread_raw, max_image_size_value\nFROM line_scan_lens_12k5u\nWHERE filter_thread_raw IS NOT NULL\n  AND max_image_size_value >= 60;'
 '[Table: line_scan_lens_12k5u] Query Type: Attribute Filtering. Natural Language: Find 12K 5µm lenses with relative illuminance of 60% or greater at the field edge. Engineering Reasoning: Filter on `relative_illuminance_percent` to find lenses with uniform illumination. Higher relative illuminance = better edge brightness = less vignetting. SQL: SELECT model_name, relative_illuminance_percent, relative_illuminance_operator\nFROM line_scan_lens_12k5u\nWHERE relative_illuminance_percent >= 60;'
 '[Table: line_scan_lens_12k5u] Query Type: Working Distance Search. Natural Language: Show all 12K 5µm line scan lenses with a working distance between 100 mm and 300 mm. Engineering Reasoning: Use a range filter on `wd_mm` to narrow down lenses that fit within a specific mounting envelope. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_12k5u\nWHERE wd_mm BETWEEN 100 AND 300;'
 '[Table: line_scan_lens_12k5u] Query Type: Ambiguous Engineering Terminology. Natural Language: What is the ""standard magnification"" for each 12K 5µm lens, and how does it relate to field of view? Engineering Reasoning: `standard_magnification` is a single reference magnification value. `fov_mm` is the corresponding field of view at that magnification. Retrieving both reveals the relationship between magnification and coverage width. SQL: SELECT model_name, standard_magnification, fov_mm\nFROM line_scan_lens_12k5u\nORDER BY standard_magnification;'
 '[Table: line_scan_lens_12k5u] Optical Attributes (aliases/synonyms: focal length, aperture, F-number, f-stop, distortion, warping, FOV, field of view, magnification, brightness, speed): focus_length_mm: Focal length of the lens measured in millimeters | f_no_min: Minimum F-number (maximum aperture) of the lens | f_no_max: Maximum F-number (minimum aperture) of the lens | tv_distortion_percent: TV distortion value expressed as a percentage | fov_mm: Field of view measured in millimeters | magnification_min: Minimum supported optical magnification ratio | magnification_max: Maximum supported optical magnification ratio | relative_illuminance_percent: Relative illuminance at the edge of the image field, expressed as a percentage of center illuminance']","The query selects the model name and TV distortion percentage from the 12K 5u lens table, orders the results by the absolute value of the TV distortion percentage in ascending order, and limits the output to the first row.",0.99999999998,0.0,0.6666666666666666,0.5167632057784647,q1_ambiguous_warping,"{""resolution_target"": ""12K"", ""pixel_pitch_um"": 5.0}",5.0,"SELECT model_name, tv_distortion_percent
FROM line_scan_lens_12k5u
ORDER BY tv_distortion_percent ASC
LIMIT 1;","The query selects the model name and TV distortion percentage from the 12K 5u lens table, orders the results by the absolute value of the TV distortion percentage in ascending order, and limits the output to the first row."
Compare the maximum aperture of the old 4K 7 micron lenses with the new series.,"SELECT 'old_series' AS series, model_name, f_no_min AS max_aperture_old
FROM line_scan_lens_4k7u
UNION ALL
SELECT 'new_series' AS series, model_name, f_no_min AS max_aperture_new
FROM new_series_line_scan_lens_4k7u
ORDER BY model_name;","[""[Table: new_series_line_scan_lens_4k7u] Query Type: Ambiguous Engineering Terminology. Natural Language: How does this new series compare to the original 4K 7µm series on maximum aperture (f_no_min)? Engineering Reasoning: The original `line_scan_lens_4k7u` also has `f_no_min`. Joining or unioning the two on `f_no_min` enables a cross-generation aperture comparison. SQL: SELECT 'original' AS series, model_name, f_no_min\nFROM line_scan_lens_4k7u\nUNION ALL\nSELECT 'new_series' AS series, model_name, f_no_min\nFROM new_series_line_scan_lens_4k7u\nORDER BY f_no_min;""
 '[Table: new_series_line_scan_lens_4k7u] Query Type: Compatibility Reasoning. Natural Language: Compare new series 4K 7µm lenses by filter thread size — which models support filters? Engineering Reasoning: Retrieve `filter_thread_raw` for all models; null values mean no filter support. SQL: SELECT model_name, filter_thread_raw, mount_raw\nFROM new_series_line_scan_lens_4k7u\nWHERE filter_thread_raw IS NOT NULL;'
 '[Table: new_series_line_scan_lens_4k7u] Query Type: Working Distance Search. Natural Language: List new series 4K 7µm lenses with working distance between 50 mm and 150 mm. Engineering Reasoning: Range filter on `wd_mm` for short-to-mid range integration. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM new_series_line_scan_lens_4k7u\nWHERE wd_mm BETWEEN 50 AND 150;'
 '[Table: new_series_line_scan_lens_4k7u] Query Type: Specification Lookup. Natural Language: Show all new series 4K 7µm lenses with their angular field of view and standard magnification. Engineering Reasoning: Select `fov_degrees` and `standard_magnification` alongside the identifier. SQL: SELECT model_name, fov_degrees, standard_magnification\nFROM new_series_line_scan_lens_4k7u;'
 '[Table: new_series_line_scan_lens_4k7u] Optical Attributes (aliases/synonyms: focal length, aperture, F-number, f-stop, distortion, warping, FOV, field of view, magnification, brightness, speed): focus_length_mm: Focal length in millimeters | f_no_min: Minimum F-number (widest aperture) | f_no_max: Maximum F-number (smallest aperture) | tv_distortion_percent: TV distortion in percent | fov_degrees: Field of view in degrees (angular) | magnification_min: Minimum optical magnification ratio | magnification_max: Maximum optical magnification ratio | relative_illuminance_percent: Relative illuminance at field edge as percentage of center']","The query selects the model names and minimum f-number (aperture) for both the original 4K 7 micron lenses and the new series of line scan lenses, labeling each set with a 'series' identifier. It then combines the results from both tables and orders them by the minimum f-number in ascending order.",0.9999999999,1.0,0.5714285714285714,0.7522726336277269,q2_cross_generation,"{""resolution_target"": ""4K"", ""pixel_pitch_um"": 7.0, ""is_new_series"": true}",5.0,"SELECT 'old_series' AS series, model_name, f_no_min AS max_aperture_old
FROM line_scan_lens_4k7u
UNION ALL
SELECT 'new_series' AS series, model_name, f_no_min AS max_aperture_new
FROM new_series_line_scan_lens_4k7u
ORDER BY model_name;","The query selects the model names and minimum f-number (aperture) for both the original 4K 7 micron lenses and the new series of line scan lenses, labeling each set with a 'series' identifier. It then combines the results from both tables and orders them by the minimum f-number in ascending order."
Show me all lenses that weigh under 200g.,"SELECT model_name
FROM line_scan_lens_8k7u
WHERE weight_g < 200;","['[Table: line_scan_lens_8k7u] Query Type: Attribute Filtering. Natural Language: Find 8K 7µm lenses with an outer diameter of 60 mm or less and weight under 400 g. Engineering Reasoning: Filter `size_diameter_mm` and `weight_g` for compact, lightweight options. SQL: SELECT model_name, size_diameter_mm, weight_g\nFROM line_scan_lens_8k7u\nWHERE size_diameter_mm <= 60\n  AND weight_g < 400;'
 '[Table: line_scan_lens_16k3_5u] Query Type: Working Distance Search. Natural Language: List all 16K 3.5µm lenses with a working distance of at least 200 mm. Engineering Reasoning: Filter on `wd_mm` to find lenses for large-standoff mounting configurations. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_16k3_5u\nWHERE wd_mm >= 200;'
 '[Table: line_scan_lens_16k5u] Query Type: Attribute Filtering. Natural Language: Find 16K 5µm lenses with an outer diameter of less than 80 mm for space-constrained installations. Engineering Reasoning: Filter on `size_diameter_mm` to find compact lens options. SQL: SELECT model_name, size_diameter_mm, weight_g\nFROM line_scan_lens_16k5u\nWHERE size_diameter_mm < 80;'
 '[Table: line_scan_lens_8k5u] Query Type: Working Distance Search. Natural Language: Show all 8K 5µm lenses with working distance greater than 200 mm. Engineering Reasoning: Filter `wd_mm` for long-range mounting requirements. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_8k5u\nWHERE wd_mm > 200;'
 '[Table: line_scan_lens_12k5u] Query Type: Working Distance Search. Natural Language: Show all 12K 5µm line scan lenses with a working distance between 100 mm and 300 mm. Engineering Reasoning: Use a range filter on `wd_mm` to narrow down lenses that fit within a specific mounting envelope. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_12k5u\nWHERE wd_mm BETWEEN 100 AND 300;']","The query selects the model name, diameter, length, and weight of all lenses from the ""all_lenses"" table where the weight is less than 200 grams.",0.0,0.0,0.5,0.7128574647416129,q3_missing_filters,{},5.0,"SELECT model_name
FROM line_scan_lens_8k7u
WHERE weight_g < 200;","The query selects the model name, diameter, length, and weight of all lenses from the ""all_lenses"" table where the weight is less than 200 grams."
List the focal length and price of all 16K 3.5 micron lenses.,"SELECT model_name, focus_length_mm, list_price
FROM line_scan_lens_16k3_5u;","['[Table: line_scan_lens_16k3_5u] Query Type: Specification Lookup. Natural Language: Show all 16K 3.5µm lenses with their focal length, angular field of view, and price. Engineering Reasoning: Select `focus_length_mm`, `fov_degrees`, and `list_price` alongside `model_name`. SQL: SELECT model_name, focus_length_mm, fov_degrees, list_price\nFROM line_scan_lens_16k3_5u;'
 '[Table: line_scan_lens_16k3_5u] Query Type: Working Distance Search. Natural Language: List all 16K 3.5µm lenses with a working distance of at least 200 mm. Engineering Reasoning: Filter on `wd_mm` to find lenses for large-standoff mounting configurations. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_16k3_5u\nWHERE wd_mm >= 200;'
 '[Table: line_scan_lens_16k3_5u] Dimension Attributes (aliases/synonyms: price, cost, weight, mass, diameter, width, size, length, compact, heavy): list_price: Catalogue sales price | size_diameter_mm: Physical outer diameter of the lens in millimeters | size_length_mm: Physical length of the lens body in millimeters | weight_g: Weight of the lens in grams'
 '[Table: line_scan_lens_16k3_5u] Query Type: Compatibility Reasoning. Natural Language: Which 16K 3.5µm lenses support sensors larger than 55 mm and have a filter thread available? Engineering Reasoning: Filter `max_image_size_value` for large format sensor coverage. Filter `filter_thread_raw` for non-null values indicating filter support. SQL: SELECT model_name, max_image_size_value, filter_thread_raw\nFROM line_scan_lens_16k3_5u\nWHERE max_image_size_value > 55\n  AND filter_thread_raw IS NOT NULL;'
 '[Table: line_scan_lens_16k3_5u] Optical Attributes (aliases/synonyms: focal length, aperture, F-number, f-stop, distortion, warping, FOV, field of view, magnification, brightness, speed): focus_length_mm: Focal length of the lens in millimeters | f_no_min: Minimum F-number (widest aperture) | f_no_max: Maximum F-number (smallest aperture) | tv_distortion_percent: TV distortion value in percent | fov_degrees: Field of view expressed in degrees | fov_mm: Field of view expressed in millimeters | magnification_min: Minimum optical magnification ratio | magnification_max: Maximum optical magnification ratio | relative_illuminance_percent: Relative illuminance at field edge as percentage of center']","Retrieve the model name, focal length in millimeters, and list price for all 16K 3.5 micron line scan lenses.",0.9999999999666667,1.0,1.0,0.6230898008322208,q4_simple_lookup,"{""resolution_target"": ""16K"", ""pixel_pitch_um"": 3.5}",5.0,"SELECT model_name, focus_length_mm, list_price
FROM line_scan_lens_16k3_5u;","Retrieve the model name, focal length in millimeters, and list price for all 16K 3.5 micron line scan lenses."
Find 8K 7u lenses that fit a C-mount and support an image size over 40mm.,"SELECT model_name, mount_raw, max_image_size_value
FROM line_scan_lens_8k7u
WHERE mount_raw = 'C'
  AND max_image_size_value > 40;","['[Table: line_scan_lens_8k7u] Query Type: Attribute Filtering. Natural Language: Find 8K 7µm lenses with an outer diameter of 60 mm or less and weight under 400 g. Engineering Reasoning: Filter `size_diameter_mm` and `weight_g` for compact, lightweight options. SQL: SELECT model_name, size_diameter_mm, weight_g\nFROM line_scan_lens_8k7u\nWHERE size_diameter_mm <= 60\n  AND weight_g < 400;'
 '[Table: line_scan_lens_8k7u] Query Type: Compatibility Reasoning. Natural Language: Which 8K 7µm lenses have a maximum F-number above 16 and support sensor sizes larger than 40 mm? Engineering Reasoning: Filter `f_no_max` for lenses with a wide aperture range. Filter `max_image_size_value` for large sensor coverage. SQL: SELECT model_name, f_no_max, max_image_size_value\nFROM line_scan_lens_8k7u\nWHERE f_no_max > 16\n  AND max_image_size_value > 40;'
 '[Table: line_scan_lens_8k7u] Query Type: Working Distance Search. Natural Language: Show 8K 7µm lenses with working distance between 80 mm and 200 mm. Engineering Reasoning: Range filter on `wd_mm`. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_8k7u\nWHERE wd_mm BETWEEN 80 AND 200;'
 '[Table: line_scan_lens_8k7u] Query Type: Specification Lookup. Natural Language: List all 8K 7µm lenses with focal length, angular field of view, and flange distance. Engineering Reasoning: Select the key specification columns for all models. SQL: SELECT model_name, focus_length_mm, fov_degrees, flange_distance\nFROM line_scan_lens_8k7u;'
 '[Table: line_scan_lens_8k7u] Conjugate & Mount Attributes (aliases/synonyms: WD, standoff, clearance, working distance, track length, conjugate, mount, thread, flange): wd_mm: Working distance from lens front to object in millimeters | o_i: Object-to-image distance or total conjugate | flange_distance: Camera flange to sensor distance in millimeters | mount_raw: Raw text of camera mount type | filter_thread_raw: Raw text of filter thread specification']","The query selects the model name, mount type, and maximum image size value from the 8K 7u lens catalog where the mount is C-mount compatible and supports an image size greater than 40mm.",0.0,1.0,0.6666666666666666,0.6021700654623606,q5_compatibility_reasoning,"{""resolution_target"": ""8K"", ""pixel_pitch_um"": 7.0}",5.0,"SELECT model_name, mount_raw, max_image_size_value
FROM line_scan_lens_8k7u
WHERE mount_raw = 'C'
  AND max_image_size_value > 40;","The query selects the model name, mount type, and maximum image size value from the 8K 7u lens catalog where the mount is C-mount compatible and supports an image size greater than 40mm."
Which 12K 5u lens has the best edge brightness?,"SELECT model_name, relative_illuminance_percent, relative_illuminance_operator
FROM line_scan_lens_12k5u
ORDER BY relative_illuminance_percent DESC
LIMIT 1;","['[Table: line_scan_lens_12k5u] Query Type: Attribute Filtering. Natural Language: Find 12K 5µm lenses with relative illuminance of 60% or greater at the field edge. Engineering Reasoning: Filter on `relative_illuminance_percent` to find lenses with uniform illumination. Higher relative illuminance = better edge brightness = less vignetting. SQL: SELECT model_name, relative_illuminance_percent, relative_illuminance_operator\nFROM line_scan_lens_12k5u\nWHERE relative_illuminance_percent >= 60;'
 '[Table: line_scan_lens_12k5u] Query Type: Compatibility Reasoning. Natural Language: Which 12K 5µm lenses have a filter thread and support a maximum image size of at least 60 mm? Engineering Reasoning: Filter on `filter_thread_raw` for non-null filter thread availability. Filter on `max_image_size_value` for large sensor coverage. SQL: SELECT model_name, filter_thread_raw, max_image_size_value\nFROM line_scan_lens_12k5u\nWHERE filter_thread_raw IS NOT NULL\n  AND max_image_size_value >= 60;'
 '[Table: line_scan_lens_12k5u] Query Type: Ambiguous Engineering Terminology. Natural Language: What is the ""standard magnification"" for each 12K 5µm lens, and how does it relate to field of view? Engineering Reasoning: `standard_magnification` is a single reference magnification value. `fov_mm` is the corresponding field of view at that magnification. Retrieving both reveals the relationship between magnification and coverage width. SQL: SELECT model_name, standard_magnification, fov_mm\nFROM line_scan_lens_12k5u\nORDER BY standard_magnification;'
 '[Table: line_scan_lens_12k5u] Optical Attributes (aliases/synonyms: focal length, aperture, F-number, f-stop, distortion, warping, FOV, field of view, magnification, brightness, speed): focus_length_mm: Focal length of the lens measured in millimeters | f_no_min: Minimum F-number (maximum aperture) of the lens | f_no_max: Maximum F-number (minimum aperture) of the lens | tv_distortion_percent: TV distortion value expressed as a percentage | fov_mm: Field of view measured in millimeters | magnification_min: Minimum supported optical magnification ratio | magnification_max: Maximum supported optical magnification ratio | relative_illuminance_percent: Relative illuminance at the edge of the image field, expressed as a percentage of center illuminance'
 '[Table: line_scan_lens_12k5u] Query Type: Working Distance Search. Natural Language: Show all 12K 5µm line scan lenses with a working distance between 100 mm and 300 mm. Engineering Reasoning: Use a range filter on `wd_mm` to narrow down lenses that fit within a specific mounting envelope. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_12k5u\nWHERE wd_mm BETWEEN 100 AND 300;']","The query selects the model name and relative illuminance percent from the 12K 5u lens table, orders the results by relative illuminance in descending order, and returns the top result.",0.7499999999625,0.0,0.3333333333333333,0.44616307085439155,q6_ambiguous_illuminance,"{""resolution_target"": ""12K"", ""pixel_pitch_um"": 5.0}",5.0,"SELECT model_name, relative_illuminance_percent, relative_illuminance_operator
FROM line_scan_lens_12k5u
ORDER BY relative_illuminance_percent DESC
LIMIT 1;","The query selects the model name and relative illuminance percent from the 12K 5u lens table, orders the results by relative illuminance in descending order, and returns the top result."
Show me coaxial line scan lenses that weigh less than 500g.,"SELECT model_name, weight_g
FROM coaxial_illumination_line_scan_lens
WHERE weight_g < 500;","['[Table: coaxial_illumination_line_scan_lens] Query Type: Working Distance Search. Natural Language: List all coaxial illumination line scan lenses with a working distance greater than 100 mm. Engineering Reasoning: Filter on `wd_mm` to find lenses suitable for applications requiring clearance between lens and target. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM coaxial_illumination_line_scan_lens\nWHERE wd_mm > 100;'
 ""[Table: coaxial_illumination_line_scan_lens] Query Type: Compatibility Reasoning. Natural Language: Which coaxial illumination line scan lenses support a maximum image size of at least 43 mm and use a C-mount? Engineering Reasoning: Filter `max_image_size_value` for large sensor coverage. Filter `mount_raw` for C-mount compatibility. SQL: SELECT model_name, max_image_size_value, mount_raw\nFROM coaxial_illumination_line_scan_lens\nWHERE max_image_size_value >= 43\n  AND mount_raw ILIKE '%C%';""
 '[Table: coaxial_illumination_line_scan_lens] Query Type: Specification Lookup. Natural Language: What are the focal length, working distance, and weight of all coaxial illumination line scan lenses? Engineering Reasoning: Select the identifying column and the three requested specification columns. No filtering needed — return all rows. SQL: SELECT model_name, focus_length_mm, wd_mm, weight_g\nFROM coaxial_illumination_line_scan_lens;'
 '[Table: coaxial_illumination_line_scan_lens] Query Type: Attribute Filtering. Natural Language: Find all coaxial illumination line scan lenses with a minimum F-number of 2.8 or lower (i.e., fast aperture lenses). Engineering Reasoning: Filter on `f_no_min` to find lenses that support wide aperture settings. Lower F-number = faster lens = better in low-light or high-speed scenarios. SQL: SELECT model_name, f_no_min, f_no_raw\nFROM coaxial_illumination_line_scan_lens\nWHERE f_no_min <= 2.8;'
 '[Table: coaxial_illumination_line_scan_lens] Dimension Attributes (aliases/synonyms: price, cost, weight, mass, diameter, width, size, length, compact, heavy): list_price: Catalogue sales price of the lens | weight_g: Physical weight of the lens body in grams']",The query selects the model names and weights of coaxial line scan lenses from the catalog where the weight is less than 500 grams.,0.36666666664833336,1.0,0.5,0.839394889971126,q7_coaxial_dimensions,"{""is_coaxial"": true}",5.0,"SELECT model_name, weight_g
FROM coaxial_illumination_line_scan_lens
WHERE weight_g < 500;",The query selects the model names and weights of coaxial line scan lenses from the catalog where the weight is less than 500 grams.
Find new series 4K 7 micron lenses with a working distance between 80mm and 120mm.,"SELECT model_name, wd_mm, focus_length_mm
FROM new_series_line_scan_lens_4k7u
WHERE wd_mm BETWEEN 80 AND 120;","['[Table: new_series_line_scan_lens_4k7u] Query Type: Working Distance Search. Natural Language: List new series 4K 7µm lenses with working distance between 50 mm and 150 mm. Engineering Reasoning: Range filter on `wd_mm` for short-to-mid range integration. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM new_series_line_scan_lens_4k7u\nWHERE wd_mm BETWEEN 50 AND 150;'
 '[Table: new_series_line_scan_lens_4k7u] Query Type: Compatibility Reasoning. Natural Language: Compare new series 4K 7µm lenses by filter thread size — which models support filters? Engineering Reasoning: Retrieve `filter_thread_raw` for all models; null values mean no filter support. SQL: SELECT model_name, filter_thread_raw, mount_raw\nFROM new_series_line_scan_lens_4k7u\nWHERE filter_thread_raw IS NOT NULL;'
 '[Table: new_series_line_scan_lens_4k7u] Query Type: Specification Lookup. Natural Language: Show all new series 4K 7µm lenses with their angular field of view and standard magnification. Engineering Reasoning: Select `fov_degrees` and `standard_magnification` alongside the identifier. SQL: SELECT model_name, fov_degrees, standard_magnification\nFROM new_series_line_scan_lens_4k7u;'
 ""[Table: new_series_line_scan_lens_4k7u] Query Type: Ambiguous Engineering Terminology. Natural Language: How does this new series compare to the original 4K 7µm series on maximum aperture (f_no_min)? Engineering Reasoning: The original `line_scan_lens_4k7u` also has `f_no_min`. Joining or unioning the two on `f_no_min` enables a cross-generation aperture comparison. SQL: SELECT 'original' AS series, model_name, f_no_min\nFROM line_scan_lens_4k7u\nUNION ALL\nSELECT 'new_series' AS series, model_name, f_no_min\nFROM new_series_line_scan_lens_4k7u\nORDER BY f_no_min;""
 '[Table: new_series_line_scan_lens_4k7u] Conjugate & Mount Attributes (aliases/synonyms: WD, standoff, clearance, working distance, track length, conjugate, mount, thread, flange): wd_mm: Working distance from lens to target in millimeters | flange_distance: Camera flange to sensor distance in millimeters | mount_raw: Raw text of camera mount type | filter_thread_raw: Raw text of filter thread specification']","The query selects the model name, working distance in millimeters, and focus length in millimeters from the new series line scan lens 4K7U table where the working distance is between 80mm and 120mm.",0.6999999999766667,1.0,0.6666666666666666,0.7008843416856708,q8_working_distance_range,"{""resolution_target"": ""4K"", ""pixel_pitch_um"": 7.0, ""is_new_series"": true}",5.0,"SELECT model_name, wd_mm, focus_length_mm
FROM new_series_line_scan_lens_4k7u
WHERE wd_mm BETWEEN 80 AND 120;","The query selects the model name, working distance in millimeters, and focus length in millimeters from the new series line scan lens 4K7U table where the working distance is between 80mm and 120mm."
I need an 8K 5u lens with the fastest speed and a standoff above 150mm.,"SELECT model_name, focus_length_mm, wd_mm
FROM line_scan_lens_8k5u
WHERE wd_mm > 150
ORDER BY focus_length_mm DESC;","['[Table: line_scan_lens_8k5u] Query Type: Working Distance Search. Natural Language: Show all 8K 5µm lenses with working distance greater than 200 mm. Engineering Reasoning: Filter `wd_mm` for long-range mounting requirements. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_8k5u\nWHERE wd_mm > 200;'
 '[Table: line_scan_lens_8k5u] Query Type: Compatibility Reasoning. Natural Language: Which 8K 5µm lenses have a diameter under 60 mm and support a filter thread? Engineering Reasoning: Filter `size_diameter_mm` for compact form factor. Filter `filter_thread_raw` for filter support. SQL: SELECT model_name, size_diameter_mm, filter_thread_raw\nFROM line_scan_lens_8k5u\nWHERE size_diameter_mm < 60\n  AND filter_thread_raw IS NOT NULL;'
 '[Table: line_scan_lens_8k5u] Query Type: Specification Lookup. Natural Language: List all 8K 5µm lenses with focal length, standard magnification, and list price. Engineering Reasoning: Retrieve three specification columns and the model identifier. SQL: SELECT model_name, focus_length_mm, standard_magnification, list_price\nFROM line_scan_lens_8k5u;'
 '[Table: line_scan_lens_8k5u] Query Type: Attribute Filtering. Natural Language: Find 8K 5µm lenses with TV distortion less than or equal to 0.1%. Engineering Reasoning: Filter `tv_distortion_percent` for low-distortion lenses. Also retrieve `tv_distortion_operator` for context. SQL: SELECT model_name, tv_distortion_percent, tv_distortion_operator\nFROM line_scan_lens_8k5u\nWHERE tv_distortion_percent <= 0.1;'
 '[Table: line_scan_lens_8k5u] Conjugate & Mount Attributes (aliases/synonyms: WD, standoff, clearance, working distance, track length, conjugate, mount, thread, flange): wd_mm: Working distance from lens to target in millimeters | o_i: Object-to-image distance or total conjugate | flange_distance: Camera flange to sensor distance in millimeters | mount_raw: Raw text of camera mount type | filter_thread_raw: Raw text of filter thread specification']","The query selects the model name, minimum f-number, and working distance of an 8K 5u lens with a working distance greater than 150mm, ordered by the minimum f-number in ascending order, and limits the result to one entry.",0.699999999965,0.0,0.3333333333333333,0.5652356895107145,q9_complex_ambiguous_speed,"{""resolution_target"": ""8K"", ""pixel_pitch_um"": 5.0}",5.0,"SELECT model_name, focus_length_mm, wd_mm
FROM line_scan_lens_8k5u
WHERE wd_mm > 150
ORDER BY focus_length_mm DESC;","The query selects the model name, minimum f-number, and working distance of an 8K 5u lens with a working distance greater than 150mm, ordered by the minimum f-number in ascending order, and limits the result to one entry."
Compare the total conjugate distance of the 16K 5 micron lenses.,"SELECT model_name, flange_distance, wd_mm, (flange_distance + wd_mm) AS o_i
FROM line_scan_lens_16k5u;","['[Table: line_scan_lens_16k5u] Query Type: Working Distance Search. Natural Language: Show 16K 5µm lenses where working distance is between 150 mm and 400 mm. Engineering Reasoning: Range filter on `wd_mm` for mid-range standoff mounting configurations. SQL: SELECT model_name, wd_mm, focus_length_mm\nFROM line_scan_lens_16k5u\nWHERE wd_mm BETWEEN 150 AND 400;'
 '[Table: line_scan_lens_16k5u] Query Type: Ambiguous Engineering Terminology. Natural Language: What is ""flange distance"" and how does it compare to working distance for these lenses? Engineering Reasoning: `flange_distance` is the camera-side optical distance (lens flange to image sensor). `wd_mm` is the object-side distance (lens front to target). Showing both reveals the full optical conjugate layout. SQL: SELECT model_name, wd_mm, flange_distance\nFROM line_scan_lens_16k5u;'
 '[Table: line_scan_lens_16k5u] Query Type: Attribute Filtering. Natural Language: Find 16K 5µm lenses with an outer diameter of less than 80 mm for space-constrained installations. Engineering Reasoning: Filter on `size_diameter_mm` to find compact lens options. SQL: SELECT model_name, size_diameter_mm, weight_g\nFROM line_scan_lens_16k5u\nWHERE size_diameter_mm < 80;'
 '[Table: line_scan_lens_16k5u] Conjugate & Mount Attributes (aliases/synonyms: WD, standoff, clearance, working distance, track length, conjugate, mount, thread, flange): wd_mm: Working distance from lens front to target in millimeters | o_i: Object-to-image distance / total conjugate | flange_distance: Camera flange to sensor distance in millimeters | mount_raw: Raw text of camera mount type | filter_thread_raw: Raw text of filter thread size/pitch'
 '[Table: line_scan_lens_16k5u] Query Type: Compatibility Reasoning. Natural Language: Which 16K 5µm lenses support F-numbers below 4 and have a maximum image size above 60 mm? Engineering Reasoning: Filter `f_no_min` for fast aperture lenses. Filter `max_image_size_value` for large sensor coverage. SQL: SELECT model_name, f_no_min, max_image_size_value\nFROM line_scan_lens_16k5u\nWHERE f_no_min < 4\n  AND max_image_size_value > 60;']",Retrieve the model names and O/I values for all 16K 5 micron lenses.,0.0,0.0,0.5,0.4132512729042315,q10_conjugate_terminology,"{""resolution_target"": ""16K"", ""pixel_pitch_um"": 5.0}",5.0,"SELECT model_name, flange_distance, wd_mm, (flange_distance + wd_mm) AS o_i
FROM line_scan_lens_16k5u;",Retrieve the model names and O/I values for all 16K 5 micron lenses.
